sample_id,CDH1,CRYAB,FABP7,FBLN1,FXYD3,LOC283352,MFAP2,MIR1234,MIR1282,MIR4442,MIR4444-1,MIR4461,MIR4484,MIR5047,MIR6132,MIR632,MMP1,OLIG1,PLEKHB1,SFRP2,SNORA10,SNORA24,SNORA26,SNORA48,SNORD15B,SNORD33,SNORD38A,SNORD44,SNORD76,SNORD89
GSM2069846,3.769782316153791,8.573226813526324,3.1035412807780687,7.404008992578333,3.2704945564932784,8.222360217962729,6.479610525215929,9.063804910261757,0.0,0.0,0.0,11.036599488225098,0.0,0.0,0.0,0.0,3.7857388535235694,0.5642308427327973,2.759119606143505,5.528921323734492,0.0,0.0,0.0,0.0,3.1514172403222163,0.0,0.0,0.0,0.0,0.0
GSM2069847,0.23646812679871576,2.7556460534352665,1.210794058954706,8.035579924455305,0.5377115431954093,0.0,8.412362371705385,0.0,0.0,0.0,0.0,11.486397622620984,0.0,0.0,0.0,0.0,11.022575879039568,0.0,0.49900342607750287,6.369604325285426,4.099993656525446,0.0,0.0,3.6926615277266515,2.8406747129298062,0.0,0.0,0.0,0.0,0.0
GSM2069824,7.027463723408577,8.060336564010811,8.568509097546322,1.1480978472660284,6.725707078837669,0.0,1.2771039883354496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04701893900389933,5.615198511094224,6.69116423147869,0.27906175579840176,0.0,0.0,0.0,0.0,3.7391676294645375,0.0,0.0,0.0,0.0,7.475283531752233
GSM2069825,6.81383248612881,9.895769143334396,1.8698082498824782,5.751818513244758,4.824727127232103,2.209816723050749,5.8007666223838825,0.0,0.0,0.0,0.0,18.340752014021902,0.0,0.0,7.324122027380335,8.929200256206738e-09,0.05532894810730121,0.09302843085997055,6.383674056033591,0.4025655671819781,4.39981025072951,4.619319097367798,0.0,2.889882345549054,4.71910675761407,0.0,0.0,18.814180319199846,0.0,0.0
GSM2069826,6.219289546848784,7.790407148322497,0.026709989877369802,2.978348495993655,2.332663542341016,5.6490060647426645,1.5708247737952885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0792927672728536,4.913892289139246,4.2260344896241255,2.3594719740252446,0.0,0.0,0.0,2.4919569666333325,0.0,0.0,0.0,0.0,0.0,5.001104140765709
GSM2069827,6.369240499566728,9.074597753304921,0.14141846854569354,4.240928679730235,2.227859652859832,6.638995505959502,3.4249677593978243,0.0,0.0,0.0,0.0,19.297265585195518,0.0,0.0,7.175359923262035,0.0,0.7588962532021735,1.6450098843910952,1.1590252457026353,5.48752976074749,0.0,0.0,0.0,2.806385930046417,2.6371581015693657,0.0,0.0,0.0,0.0,0.0
GSM2069829,6.602174018232886,9.452327737754576,3.655483497151345,5.22164511788964,7.047881877848158,7.722964597109026,6.082734518311226,0.0,0.0,0.0,0.0,0.0,0.0,14.400002161483087,0.0,0.0,2.0892388085205664,5.353266824498537,6.889230152392887,4.144752040449633,8.654371092458586,6.843509063003763,9.251497796129257,9.258382299393627,8.91167810147779,20.746312569580923,0.0,0.0,0.0,6.493807425305634
GSM2069830,5.214686305535099,8.26698794185313,3.480322647725952,5.621212322199809,8.089323354152981,0.27597070818094144,4.153618908382939,16.498161251129623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9525486498292609,3.598579592553654,7.350413264229901,4.76336642314548,0.0,0.0,0.0,1.859854286988255,0.0,0.0,0.0,0.0,0.0,0.0
GSM2069833,0.3593732950411187,7.092323738854918,9.855822334229195,4.344903043781703,4.180494009138687,0.18259569091337147,4.1289738348798,15.147735580720603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2074743469299682,1.82221619188429,6.574015955311576,5.639651826886497,0.0,0.0,0.0,0.0,3.745592314078946,0.0,0.0,0.0,0.0,6.9968067601039
GSM2069835,6.06752040896631,8.100494146172972,3.3076609406714237,3.631709644785603,2.54615486985073,6.910774627986713,2.04816118867605,16.05238761773706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875158430290383,1.5381234223141629,3.174603760855778,4.401773800663449,0.0,4.719229995948714,6.129767268999504,0.0,0.0,0.0,17.166437721029556,17.77572600857079,0.0,7.455429972702374
GSM2069837,4.315515511944091,9.019736658336782,7.988431909001342,8.308209318287398,9.026764102155727,7.784732984739279,4.600448176064016,0.0,0.0,0.0,0.0,19.46962194570808,0.0,0.0,8.787313284186482,0.0,0.12425679263027799,3.460184902218308,4.37528970853542,6.141366368858529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.412688390610211
GSM2069842,5.872400318897863,8.84776520515259,4.529321225345698,4.558405406078272,2.6703701599952834,4.083387842939299,3.0659384532506735,17.286237371789344,0.0,0.0,0.0,0.0,0.0,0.0,6.281382973805242,0.0,0.4065045615840401,4.581571190172681,3.294886841856445,3.91392339586061,3.8248951142063934,0.0,0.0,2.6316048886963412,1.7097361699765934,0.0,0.0,0.0,0.0,0.0
GSM2069843,6.98160723729547,8.89904871221426,5.863560634827419,2.8878751793318758,2.739916132373473,3.2812872645455875,2.315680702382673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35928220075696615,4.576358873166859,3.6975792382832995,3.9333979558388945,0.0,0.0,0.0,0.0,1.9249074927446674,0.0,0.0,0.0,0.0,5.30770173701787
GSM2069844,6.830445486915715,6.366414019191019,3.298779268157654,5.2907745658564655,8.731887510583448,0.0,4.272291989181236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333385715776826,1.15521816100547,1.9454485185448886,4.385890003511215,4.4950395338775735,6.201210399396634,0.0,4.0379883428807615,3.9702922926049125,0.0,18.90800406304575,0.0,0.0,0.0
GSM2069848,6.2101160732806076,5.045311906028768,4.201335882510176,3.370434934878007,7.156760642431016,2.1056512617523624,2.2943237253006243,8.213906169185424,0.0,0.0,0.0,12.066381871748238,0.0,0.0,0.0,0.0,1.9149930588992048,1.1857967869415587,4.242815884026841,3.532541388813518,3.6002816490325302,0.0,0.0,3.207638327792882,0.0,0.0,0.0,0.0,0.0,4.267213665083921
GSM2069849,1.619187608574334,10.078964679859798,2.0047854089076877,2.0303996473761465,2.302599811714867,0.9841255719490933,0.5228773289306122,0.0,0.0,0.0,0.0,10.840478969986176,0.0,0.0,0.0,0.0,1.813023866120087,3.0410186390302645,5.05931633678568,1.4213660465846232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSM2069850,3.313122477218176,7.879950768412602,0.20400295286387665,1.7646688695494157,6.760407260363219,6.0243839571332245,0.7256006968161084,0.0,0.0,0.0,0.0,12.428014638321896,0.0,0.0,0.0,0.0,1.6663294000333029,3.8226791684204633,6.01572948382113,0.44007090187984493,0.0,0.0,0.0,0.0,2.7415748474187955,0.0,0.0,0.0,0.0,0.0
